变量名,数据类型,连接名,PLC地址,读写属性,断电保持,注释,画面编号
U7_VD_Timeout_ValveA,Float,PLC_07,VD358,RW,是,阀A动作超时(s),4
U7_VD_Timeout_ValveB,Float,PLC_07,VD362,RW,是,阀B动作超时(s),4
U7_VD_Timeout_ValveC,Float,PLC_07,VD54,RW,是,阀C动作超时(s),4
U7_VD_Timeout_Pump1,Float,PLC_07,VD58,RW,是,潜水泵1超时(s),4
U7_VD_Timeout_Pump2,Float,PLC_07,VD62,RW,是,潜水泵2超时(s),4
U7_VD_Delay_ValveA_Verify,Float,PLC_07,VD66,RW,是,阀A关闭延时验证(s),4
U7_VD_ExperimentDuration_Accum,Float,PLC_07,VD366,R,是,实验时长累加(min),1
U7_VD_Vol_Target,Float,PLC_07,VD370,R,是,本轮目标抽取体积(µL),2
U7_VD_Dose_Steps,Float,PLC_07,VD102,R,是,本轮加药目标步数,2
U7_VD_S1_Actual,Float,PLC_07,VD70,R,是,S1进水实测时长(s),2
U7_VD_S4_Actual,Float,PLC_07,VD74,R,是,S4转移实测时长(s),2
U7_VD_S6_Actual,Float,PLC_07,VD78,R,是,S6排水实测时长(s),2
U7_VD_FlowMeter_Snapshot,Float,PLC_07,VD82,R,是,流量计快照(差值基准),2
U7_VD_FlowMeter_Current,Float,PLC_07,VD86,R,是,流量计当前累计值,2
U7_VD_Current_InletVolume,Float,PLC_07,VD90,R,是,本次进水量(L),2
U7_VD_FlowRate_Instant,Float,PLC_07,VD94,R,是,瞬时流速(L/min),2
U7_VD_T_Default,Float,PLC_07,VD104,R,是,T初始默认值(s),6
U7_VD_S6_Default,Float,PLC_07,VD108,R,是,S6排水默认时长(s),6
U7_VD_T_Rolling,Float,PLC_07,VD112,R,是,T滚动实测值(s),6
U7_VD_S6_Rolling,Float,PLC_07,VD116,R,是,S6滚动实测值(s),6
U7_VD_S2_Target,Float,PLC_07,VD120,R,是,本轮S2实际目标(s),6
U7_VD_RestTime_Target,Float,PLC_07,VD124,R,是,本轮S3.5实际目标(s),6
U7_VD_CycleExtend_Target,Float,PLC_07,VD128,R,是,本轮允许空等时长(min),6
U7_VD_PumpSpeed_Start,Float,PLC_07,VD132,RW,是,注射泵启动速度(Hz),4
U7_VD_PumpSpeed_Max,Float,PLC_07,VD136,RW,是,注射泵最高速度(Hz),4
U7_VD_PumpSpeed_Cutoff,Float,PLC_07,VD140,RW,是,注射泵截止速度(Hz),4
U7_V300_0_Alarm_Overflow_AHigh,Bool,PLC_07,V300.0,R,是,上缸漫溢,5
U7_V300_1_Alarm_Overflow_BHigh,Bool,PLC_07,V300.1,R,是,下缸漫溢,5
U7_V300_2_Alarm_NCValve_Top,Bool,PLC_07,V300.2,R,是,NC球阀-上缸动作,5
U7_V300_3_Alarm_NCValve_Bottom,Bool,PLC_07,V300.3,R,是,NC球阀-下缸动作,5
U7_V300_4_EStop_Latch,Bool,PLC_07,V300.4,R,是,急停触发锁存,5
U7_V300_5_Alarm_SafetyRelay,Bool,PLC_07,V300.5,R,是,安全继电器故障(最高级),5
U7_V300_6_Alarm_ScheduleLag,Bool,PLC_07,V300.6,R,是,配液节奏严重滞后,5
U7_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_07,V300.7,R,是,配液节奏滞后提示,5
U7_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_07,V301.0,R,是,阀A关后仍有流,5
U7_V301_1_Alarm_ValveA_Leak,Bool,PLC_07,V301.1,R,是,阀A内漏,5
U7_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_07,V301.2,R,是,阀A关超时,5
U7_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_07,V301.3,R,是,阀A关到位有流,5
U7_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_07,V301.4,R,是,阀A开超时,5
U7_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_07,V301.5,R,是,阀A开到位无流,5
U7_V301_6_Alarm_ValveA_S1Start,Bool,PLC_07,V301.6,R,是,S5触发新一轮S1上缸非空,5
U7_V302_0_Alarm_ValveB_Diag,Bool,PLC_07,V302.0,R,是,阀B四态诊断异常,5
U7_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_07,V302.1,R,是,阀B开超时,5
U7_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_07,V302.2,R,是,阀B开到位无流,5
U7_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_07,V302.3,R,是,阀B关超时,5
U7_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_07,V302.4,R,是,阀B关到位有流,5
U7_V302_5_Alarm_ValveC_Diag,Bool,PLC_07,V302.5,R,是,阀C四态诊断异常,5
U7_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_07,V302.6,R,是,阀C开超时,5
U7_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_07,V302.7,R,是,阀C开到位无流,5
U7_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_07,V303.0,R,是,阀C关超时,5
U7_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_07,V303.1,R,是,阀C关到位有流,5
U7_V303_4_Alarm_SyringePump,Bool,PLC_07,V303.4,R,是,注射泵通讯/动作异常,5
U7_V303_5_Alarm_RTC_Lost,Bool,PLC_07,V303.5,R,是,RTC时钟丢失,5
U7_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_07,V303.6,R,是,流量开关瞬时异常,5
U7_CMD_Manual_ValveA_Open,Bool,PLC_07,V2.4,RW,是,手动开阀A,3
U7_CMD_Manual_ValveA_Close,Bool,PLC_07,V2.5,RW,是,手动关阀A,3
U7_CMD_Manual_ValveB_Open,Bool,PLC_07,V2.6,RW,是,手动开阀B,3
U7_CMD_Manual_ValveB_Close,Bool,PLC_07,V2.7,RW,是,手动关阀B,3
U7_CMD_Manual_ValveC_Open,Bool,PLC_07,V3.0,RW,是,手动开阀C,3
U7_CMD_Manual_ValveC_Close,Bool,PLC_07,V3.1,RW,是,手动关阀C,3
U7_CMD_Manual_Pump1_On,Bool,PLC_07,V3.2,RW,是,手动启动泵1,3
U7_CMD_Manual_Pump1_Off,Bool,PLC_07,V3.3,RW,是,手动停止泵1,3
U8_CMD_Start,Bool,PLC_08,V0.0,RW,是,启动实验(从S0进入S1),3
U8_CMD_Pause,Bool,PLC_08,V0.1,RW,是,暂停实验(预留),3
U8_CMD_Stop,Bool,PLC_08,V0.2,RW,是,停止实验(进入S7),3
U8_CMD_AckAlarm,Bool,PLC_08,V0.3,RW,是,报警确认,5
U8_CMD_Mute,Bool,PLC_08,V0.4,RW,是,消音命令,5
U8_CMD_ForceTankA_Empty,Bool,PLC_08,V0.5,RW,是,强制上缸状态=空,3
U8_CMD_ForceTankA_Full,Bool,PLC_08,V0.6,RW,是,强制上缸状态=满,3
U8_CMD_SafetyRelayAck,Bool,PLC_08,V0.7,RW,是,继电器故障HMI确认,5
U8_STA_StartAck,Bool,PLC_08,V1.0,R,是,启动命令已接收,1
U8_STA_PauseAck,Bool,PLC_08,V1.1,R,是,暂停命令已接收,3
U8_STA_StopAck,Bool,PLC_08,V1.2,R,是,停止命令已接收,3
U8_STA_AlarmAckDone,Bool,PLC_08,V1.3,R,是,报警确认已执行,5
U8_STA_MuteDone,Bool,PLC_08,V1.4,R,是,消音已执行,5
U8_STA_ForceDone,Bool,PLC_08,V1.5,R,是,状态强制已执行,3
U8_STA_TankA_State,Bool,PLC_08,V1.6,R,是,"上缸状态(0=空,1=满)",1
U8_STA_TankB_State,Bool,PLC_08,V1.7,R,是,"下缸状态(0=空,1=满)",1
U8_VW2_StateMachine,Int,PLC_08,VW2,R,是,"状态机当前状态(0~8,99)",1
U8_VW4_PumpStatus,Int,PLC_08,VW4,R,否,注射泵状态码,2
U8_VW6_AlarmCode,Int,PLC_08,VW6,R,是,当前最高优先级报警码,5
U8_VW8_RoundCount,Int,PLC_08,VW8,R,是,实验轮次计数,1
U8_VD_C_Set,Float,PLC_08,VD10,RW,是,目标浓度设定值(%),4
U8_VD_C_Stock,Float,PLC_08,VD14,RW,是,母液浓度(%),4
U8_VD_StepResolution,Float,PLC_08,VD350,RW,是,注射泵单步分辨率(µL/步),4
U8_VD_CycleSetpoint,Float,PLC_08,VD354,RW,是,换水周期设定值(min),4
U8_VD_ExperimentTarget,Float,PLC_08,VD24,RW,是,实验时长目标(min),4
U8_VD_PreMixTime,Float,PLC_08,VD28,RW,是,S2预循环标称时长(s),4
U8_VD_PreMixTime_MinSafe,Float,PLC_08,VD32,RW,是,S2压缩下限(s),4
U8_VD_RestTime,Float,PLC_08,VD36,RW,是,S3.5静止等候标称时长(s),4
U8_VD_RestTime_Min,Float,PLC_08,VD40,RW,是,S3.5压缩下限(s),4
U8_VD_CycleExtend_Max,Float,PLC_08,VD44,RW,是,换水周期顺延上限(min),4
U8_VD_Timeout_ValveA,Float,PLC_08,VD358,RW,是,阀A动作超时(s),4
U8_VD_Timeout_ValveB,Float,PLC_08,VD362,RW,是,阀B动作超时(s),4
U8_VD_Timeout_ValveC,Float,PLC_08,VD54,RW,是,阀C动作超时(s),4
U8_VD_Timeout_Pump1,Float,PLC_08,VD58,RW,是,潜水泵1超时(s),4
U8_VD_Timeout_Pump2,Float,PLC_08,VD62,RW,是,潜水泵2超时(s),4
U8_VD_Delay_ValveA_Verify,Float,PLC_08,VD66,RW,是,阀A关闭延时验证(s),4
U8_VD_ExperimentDuration_Accum,Float,PLC_08,VD366,R,是,实验时长累加(min),1
U8_VD_Vol_Target,Float,PLC_08,VD370,R,是,本轮目标抽取体积(µL),2
U8_VD_Dose_Steps,Float,PLC_08,VD102,R,是,本轮加药目标步数,2
U8_VD_S1_Actual,Float,PLC_08,VD70,R,是,S1进水实测时长(s),2
U8_VD_S4_Actual,Float,PLC_08,VD74,R,是,S4转移实测时长(s),2
U8_VD_S6_Actual,Float,PLC_08,VD78,R,是,S6排水实测时长(s),2
U8_VD_FlowMeter_Snapshot,Float,PLC_08,VD82,R,是,流量计快照(差值基准),2
U8_VD_FlowMeter_Current,Float,PLC_08,VD86,R,是,流量计当前累计值,2
U8_VD_Current_InletVolume,Float,PLC_08,VD90,R,是,本次进水量(L),2
U8_VD_FlowRate_Instant,Float,PLC_08,VD94,R,是,瞬时流速(L/min),2
U8_VD_T_Default,Float,PLC_08,VD104,R,是,T初始默认值(s),6
U8_VD_S6_Default,Float,PLC_08,VD108,R,是,S6排水默认时长(s),6
U8_VD_T_Rolling,Float,PLC_08,VD112,R,是,T滚动实测值(s),6
U8_VD_S6_Rolling,Float,PLC_08,VD116,R,是,S6滚动实测值(s),6
U8_VD_S2_Target,Float,PLC_08,VD120,R,是,本轮S2实际目标(s),6
U8_VD_RestTime_Target,Float,PLC_08,VD124,R,是,本轮S3.5实际目标(s),6
U8_VD_CycleExtend_Target,Float,PLC_08,VD128,R,是,本轮允许空等时长(min),6
U8_VD_PumpSpeed_Start,Float,PLC_08,VD132,RW,是,注射泵启动速度(Hz),4
U8_VD_PumpSpeed_Max,Float,PLC_08,VD136,RW,是,注射泵最高速度(Hz),4
U8_VD_PumpSpeed_Cutoff,Float,PLC_08,VD140,RW,是,注射泵截止速度(Hz),4
U8_V300_0_Alarm_Overflow_AHigh,Bool,PLC_08,V300.0,R,是,上缸漫溢,5
U8_V300_1_Alarm_Overflow_BHigh,Bool,PLC_08,V300.1,R,是,下缸漫溢,5
U8_V300_2_Alarm_NCValve_Top,Bool,PLC_08,V300.2,R,是,NC球阀-上缸动作,5
U8_V300_3_Alarm_NCValve_Bottom,Bool,PLC_08,V300.3,R,是,NC球阀-下缸动作,5
U8_V300_4_EStop_Latch,Bool,PLC_08,V300.4,R,是,急停触发锁存,5
U8_V300_5_Alarm_SafetyRelay,Bool,PLC_08,V300.5,R,是,安全继电器故障(最高级),5
U8_V300_6_Alarm_ScheduleLag,Bool,PLC_08,V300.6,R,是,配液节奏严重滞后,5
U8_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_08,V300.7,R,是,配液节奏滞后提示,5
U8_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_08,V301.0,R,是,阀A关后仍有流,5
U8_V301_1_Alarm_ValveA_Leak,Bool,PLC_08,V301.1,R,是,阀A内漏,5
U8_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_08,V301.2,R,是,阀A关超时,5
U8_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_08,V301.3,R,是,阀A关到位有流,5
U8_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_08,V301.4,R,是,阀A开超时,5
U8_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_08,V301.5,R,是,阀A开到位无流,5
U8_V301_6_Alarm_ValveA_S1Start,Bool,PLC_08,V301.6,R,是,S5触发新一轮S1上缸非空,5
U8_V302_0_Alarm_ValveB_Diag,Bool,PLC_08,V302.0,R,是,阀B四态诊断异常,5
U8_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_08,V302.1,R,是,阀B开超时,5
U8_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_08,V302.2,R,是,阀B开到位无流,5
U8_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_08,V302.3,R,是,阀B关超时,5
U8_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_08,V302.4,R,是,阀B关到位有流,5
U8_V302_5_Alarm_ValveC_Diag,Bool,PLC_08,V302.5,R,是,阀C四态诊断异常,5
U8_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_08,V302.6,R,是,阀C开超时,5
U8_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_08,V302.7,R,是,阀C开到位无流,5
U8_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_08,V303.0,R,是,阀C关超时,5
U8_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_08,V303.1,R,是,阀C关到位有流,5
U8_V303_4_Alarm_SyringePump,Bool,PLC_08,V303.4,R,是,注射泵通讯/动作异常,5
U8_V303_5_Alarm_RTC_Lost,Bool,PLC_08,V303.5,R,是,RTC时钟丢失,5
U8_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_08,V303.6,R,是,流量开关瞬时异常,5
U8_CMD_Manual_ValveA_Open,Bool,PLC_08,V2.4,RW,是,手动开阀A,3
U8_CMD_Manual_ValveA_Close,Bool,PLC_08,V2.5,RW,是,手动关阀A,3
U8_CMD_Manual_ValveB_Open,Bool,PLC_08,V2.6,RW,是,手动开阀B,3
U8_CMD_Manual_ValveB_Close,Bool,PLC_08,V2.7,RW,是,手动关阀B,3
U8_CMD_Manual_ValveC_Open,Bool,PLC_08,V3.0,RW,是,手动开阀C,3
U8_CMD_Manual_ValveC_Close,Bool,PLC_08,V3.1,RW,是,手动关阀C,3
U8_CMD_Manual_Pump1_On,Bool,PLC_08,V3.2,RW,是,手动启动泵1,3
U8_CMD_Manual_Pump1_Off,Bool,PLC_08,V3.3,RW,是,手动停止泵1,3
SelectedUnit,Int,(内部),,,,当前选中单元号(1~8),0
UnitEnabled_01,Bool,(内部),,,是,1号单元使能,7
UnitEnabled_02,Bool,(内部),,,是,2号单元使能,7
UnitEnabled_03,Bool,(内部),,,是,3号单元使能,7
UnitEnabled_04,Bool,(内部),,,是,4号单元使能,7
UnitEnabled_05,Bool,(内部),,,是,5号单元使能,7
UnitEnabled_06,Bool,(内部),,,是,6号单元使能,7
UnitEnabled_07,Bool,(内部),,,是,7号单元使能,7
UnitEnabled_08,Bool,(内部),,,是,8号单元使能,7
LoginLevel,Int,(内部),,,否,当前登录权限(0/1/2/3),0
LoginTime,String,(内部),,,否,登录时间(超时判断),0
GlobalAlarmActive,Bool,(内部),,,否,全局报警活动,0
GlobalMuteState,Bool,(内部),,,否,全局消音状态,0
CommStatus_01,Bool,(内部),,,否,1号连接通讯状态,1
CommStatus_02,Bool,(内部),,,否,2号连接通讯状态,1
CommStatus_03,Bool,(内部),,,否,3号连接通讯状态,1
CommStatus_04,Bool,(内部),,,否,4号连接通讯状态,1
CommStatus_05,Bool,(内部),,,否,5号连接通讯状态,1
CommStatus_06,Bool,(内部),,,否,6号连接通讯状态,1
CommStatus_07,Bool,(内部),,,否,7号连接通讯状态,1
CommStatus_08,Bool,(内部),,,否,8号连接通讯状态,1
